address,ip,port,is_valid,latency_ms,net_type,net_type_en,country,region,city,isp,location,source,category,validation_error
8.217.94.174:1080,8.217.94.174,1080,True,158.12,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.217.97.108:1080,8.217.97.108,1080,True,152.32,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.217.97.218:1080,8.217.97.218,1080,True,152.03,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.217.98.134:1080,8.217.98.134,1080,True,151.87,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.217.103.91:1080,8.217.103.91,1080,True,146.85,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.217.103.142:1080,8.217.103.142,1080,True,146.47,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.217.104.110:1080,8.217.104.110,1080,True,151.96,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.217.106.190:5555,8.217.106.190,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.217.106.196:8888,8.217.106.196,8888,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.217.114.185:1080,8.217.114.185,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.217.116.208:5555,8.217.116.208,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.217.116.231:1080,8.217.116.231,1080,True,152.21,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.217.121.141:1080,8.217.121.141,1080,True,145.98,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.217.122.50:1080,8.217.122.50,1080,True,146.06,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.217.122.167:1080,8.217.122.167,1080,True,152.3,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.217.125.154:1080,8.217.125.154,1080,True,158.04,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.217.125.237:1080,8.217.125.237,1080,True,153.01,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.217.126.80:1080,8.217.126.80,1080,True,153.34,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.217.126.126:7777,8.217.126.126,7777,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.217.153.114:1080,8.217.153.114,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.217.193.255:1080,8.217.193.255,1080,True,148.04,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.217.196.112:1080,8.217.196.112,1080,True,146.71,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.217.241.10:7777,8.217.241.10,7777,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.217.242.151:7777,8.217.242.151,7777,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.217.247.64:7777,8.217.247.64,7777,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.218.7.131:5555,8.218.7.131,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.218.40.151:5555,8.218.40.151,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.218.85.189:5555,8.218.85.189,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.218.117.246:1080,8.218.117.246,1080,True,152.77,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.218.118.150:5555,8.218.118.150,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.218.130.66:1080,8.218.130.66,1080,True,152.79,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
